# from appendix B of The dilogarithm function of a real argument,  Robert Morris, Math. Comp. 33 (1979), 778-787
x,dilog(x),dilog(-x)
0.02,0.020100899018693195540755412493,-0.019900879015136839780342951326
0.04,0.040407275324338307148543884616,-0.039606955096577741644497190472
0.06,0.060924842459884974299798979316,-0.059123219862624050751326518607
0.08,0.081659587698643265198479878575,-0.078454453082443202331042859707
0.10,0.102617791099391131113837369057,-0.097605235229321583841103341851
0.12,0.123806046327036042419159027599,-0.116579959082834610114664573331
0.14,0.145231283445341062927691619326,-0.135382840467294849314621822263
0.16,0.166900793917664072947938365447,-0.154017928204449018083640434686
0.18,0.188822258086085853335161595038,-0.172489113350156305978567089030
0.20,0.211003775439704772611185096074,-0.190800137777535619036913153766
0.22,0.233453898030463794829030055518,-0.208954602162683753615964017283
0.24,0.256181667451142899587256342099,-0.226955973423426039147913551882
0.26,0.279196655856947818063632058343,-0.244807591656568191553058387318
0.28,0.302509011591760420807488203837,-0.262512676614689638281448110532
0.30,0.326129510075476069530035694175,-0.280074333759582904230216972305
0.32,0.350069610723578473188921461188,-0.297495559925939290064512421852
0.34,0.374341520808806402255075418013,-0.314779248625755016545532916910
0.36,0.3989582673433333705829727779501,-0.331928195021138439164407701793
0.38,0.423933778265871398349749633474,-0.348945100590698179124418838894
0.40,0.449282974471281664464733402376,-0.365832577512449627990764219653
0.42,0.475021874533404081393528930687,-0.382593152784163303335229665162
0.44,0.501167714361562439055900777479,-0.399229272100266844015098449953
0.46,0.527739084519805883772642790164,-0.415743303502780223139440376484
0.48,0.554756088554961362938602345297,-0.432137540822291058100935672666
0.50,0.582240526465012505902656320160,-0.448414206923646202443064405916
0.52,0.610216108447686308560064263976,-0.464575456769831733127134855858
0.54,0.638708705375584146551789292715,-0.480623380316422462665913464193
0.56,0.667746644153605339596512280099,-0.496560005247992274621315234110
0.58,0.697361058374981589284339230087,-0.512387299566977363848638322300
0.60,0.727586307716333389513536296840,-0.528107174044666653659867240709
0.62,0.758460483608688037400563251928,-0.543721484543247829732934686901
0.64,0.790026024347134536378400364632,-0.559232034217161512400276604810
0.66,0.822330470644328180452391505023,-0.574640575601389522398739806762
0.68,0.855427403747997710063983628277,-0.589948812593744763913894824356
0.70,0.889377624286038738601006274807,-0.605158402337705283974426887577
0.72,0.924250653636126098873386769629,-0.620270957011863537236367523198
0.74,0.960126675233516956781208711469,-0.635288045531625617630504710184
0.76,0.997099088305810395911743645829,-0.650211195168395788682061825034
0.78,1.035277934217013403697392372381,-0.665041893091114572564697019132
0.80,1.074794600008248359395451922854,-0.679781587834681091206251740538
0.82,1.115808450985135482650401791877,-0.694431690699479622285071072771
0.84,1.158516487507309750805725217889,-0.708993577085944037747757898548
0.86,1.203167960860418347404547420250,-0.723468587767829769834925149256
0.88,1.250087584199261871567654759981,-0.737858030107619249168943827238
0.90,1.299714723004958725171060494193,-0.752163179217261620372692713427
0.92,1.352675161043712628374329977602,-0.766385279067239371382567985458
0.94,1.409928300464020368928954559279,-0.780525543546761872965963982604
0.96,1.473125860239736728262269485409,-0.794585157477707410460367048107
0.98,1.545799712031465609713051762219,-0.808565277584769917544493333163
1.00,1.644934066848226436472415166646,-0.822467033424113218236207583323
1.10,1.961999101305568593053176992766,-0.890838090262282605871309428418
1.20,2.129169430383959659444305569819,-0.957405308558781248198010286629
1.30,2.240887839853646066434666550977,-1.022284038302275319986718986228
1.40,2.319073036309661140597949062073,-1.085577956347125075554889582744
1.50,2.374395270272480200677499763072,-1.147380660375570754079977663386
1.60,2.413131137974625258433089529909,-1.207776992369138194073720165256
1.70,2.439354270885838956416859251849,-1.266844145866363447320905517040
