# From https://beta.lmfdb.org/riemann/stieltjes/
n,gamma_k
0,0.577215664901532861
1,-0.0728158454836767249
2,-0.00969036319287231848
3,0.00205383442030334587
4,0.00232537006546730006
5,0.000793323817301062702
6,-0.000238769345430199610
7,-0.000527289567057751046
8,-0.000352123353803039509
9,-0.0000343947744180880482
10,0.000205332814909064795
11,0.000270184439543903527
12,0.000167272912105140193
13,-0.0000274638066037601589
14,-0.000209209262059299946
15,-0.000283468655320241447
16,-0.000199696858308969775
17,0.0000262770371099183367
18,0.000307368408149252827
19,0.000503605453047355629
20,0.000466343561511559449
21,0.000104437769756000116
22,-0.000541599582203997702
23,-0.00124396209040824578
24,-0.00158851127890356156
25,-0.00107459195273848882
26,0.000656803518637154432
27,0.00347783691361853821
28,0.00640006853170062946
29,0.00737115177047223913
30,0.00355772885557316095
31,-0.00751332599781522893
32,-0.0257037291084204018
33,-0.0451067341080802199
34,-0.0511269280215084644
35,-0.0203730436038613127
36,0.0724821588168113337
37,0.236026382274301503
38,0.428963446384809153
39,0.517921842692923719
40,0.248721559394615465
41,-0.719574846901300350
42,-2.63879492733573454
43,-5.26493031235502383
44,-7.18874588950352728
45,-5.07234458991637249
46,6.60991560909696581
47,34.0397749821587482
48,78.6824797632425850
49,125.844387631978469
50,126.823602651322717
51,-19.1969118730278558
52,-463.188923026716811
53,-1340.65914437689219
54,-2572.45474040443552
55,-3457.14120864538995
56,-2055.27581623197430
57,5372.28221320319128
58,24019.3893776069882
59,57424.3192969640755
60,98543.2545901460421
61,111670.957814941079
62,5333.66521050076434
63,-390972.687313396396
64,-1.30318071253251981e6
65,-2.84507655260861212e6
66,-4.54052660973772410e6
67,-4.34190513900151620e6
68,2.87156694597246051e6
69,2.66049085466867709e7
70,7.93216631192990606e7
71,1.66215134046825436e8
72,2.55153258308238993e8
73,2.12655631691854037e8
74,-2.98767089431166184e8
75,-1.91948742773280240e9
76,-5.51557425812922027e9
77,-1.14834509879262560e10
78,-1.75701522777772639e10
79,-1.39610214580125182e10
80,2.51634410107906368e10
81,1.51058510830039652e11
82,4.37904431188825412e11
83,9.31706846884597532e11
84,1.47209981910894167e12
85,1.25904496781436343e12
86,-1.95881022472885916e12
87,-1.29515454993526074e13
88,-3.92971538821761472e13
89,-8.75304473973060639e13
90,-1.47161049421415044e14
91,-1.47797700074868832e14
92,1.29463214126851500e14
93,1.18856297595292327e15
94,3.92068462696123640e15
95,9.34167085034620800e15
96,1.70752474522235763e16
97,2.07179835426089506e16
98,-2.85430784969050842e15
99,-1.12584810772062443e17
