"s","zeta'(s)"
"19.0433694102642740298262742092 + 0.4199825845599150481262840925i","-1.229754747049860453693663429146e-6 + 3.68622171322122453289707785423e-7i"
"17.2069801411853793098433063897 + 1.3520873807140707594084806557i","-2.71304183961006634806406122088e-6 + 3.69905144583214178706839103621e-6i"
"-17.563163486280294949932133229 - 2.0063493107345080632426047571i","98.9427449231086261541835997966 + 30.1164401856714214956662204325i"
"-27.9600238009270254880233887238 - 25.3493626025014433834164792379i","-5.0140614111429943140353485001e18 - 3.13502964918110432331926125107e19i"
"8.35261234240981085612381946973 + 2.36989705196248410348207237631i","0.00026482392674249505188323731348 + 0.00216918905900620796421953339887i"
"18.6986570736581252407781836749 - 9.8737681466546257690486972546i","-1.37945573042141013881163747754e-6 - 8.6519164358235450781992533682e-7i"
"0.81655662131475471371853332227 - 11.52879594156432583808533595408i","-0.188604620357296532738842415663 - 0.344950735696283918540745495278i"
"9.9241307564961047693809495981 + 26.7629322024440167461040539286i","-0.000674452147776625777314227494703 - 0.000229354843477328690252984625055i"
"15.3096036155866461929166142392 + 27.9337702752872848785631658904i","-0.0000149147083735085364781701244822 + 8.3361469951981966782508605501e-6i"
"-4.5585515909065039985959964832 + 22.0810874935808961593580402228i","422.573251543690187684835361445 - 651.938974261367863261413130782i"
"-3.24247848484757430137357773269 + 12.34507448294772766600281712592i","-8.55886500659492781069781129314 + 5.23706725056901006667192232238i"
"-5.8143971315436675473332381621 - 14.3586440252274157569132112914i","-72.736727936744405492204290462 - 212.177119701987614804095627595i"
"-22.0671321159650507358446787221 + 5.4997100991016015426282323458i","-283036.25496864878816078566022 + 2.90039865599851595660911688101e6i"
"20.9291905375491992192343603628 + 24.7041108715428644591146950776i","5.3700629081720750753190416169e-8 - 3.4287123526108692109188239212e-7i"
"-11.28566739902366737352239503078 + 7.91772423161065132100012786277i","168.813404633478895332632103783 - 290.119636105344437047455197049i"
"21.9596270755458398677563604219 + 18.4510063165359645757027502971i","-1.65750522068623899122474571028e-7 + 3.760371836695259977166182569e-8i"
"12.2372590891512913725943944623 + 29.549843039698796084436125282i","8.16872192051268795373216187e-6 + 0.000144658199327283913836961061861i"
"11.11390473931020611300353713628 - 2.90260225367397825099583297628i","0.00013918012542139673023871910369 - 0.000282308126812357300236164530539i"
"27.1911918743604738508143272577 + 1.8856770441969394186975025932i","-1.17917228064220419842327200657e-9 + 4.3670464755712498997434073602e-9i"
"-13.213303680641307599333735024 - 7.9944458371092479396186082127i","1472.00227089626983975569098642 - 1542.48934815496524511881509432i"
"-19.5649320146053951459696090244 - 29.6927207092580045379025970798i","2.18106316832267773578109348457e14 - 1.07258094184866204572710114739e14i"
"27.6476927345501681576359831235 + 0.4466364960282768936773023994i","-3.13975729468156503748345536718e-9 + 1.00432689954570925292126239521e-9i"
"18.0200033674476828497131359527 - 9.2593938071152099970715378618i","-2.58201736870899285647547944238e-6 - 3.4893375252333203305944251757e-7i"
"8.73614089235665903985932521551 - 8.8806083452676596488003270765i","-0.00154868508825831397270403550611 + 0.00023197384912116128394407299279i"
"16.2732020234162038574133815427 - 3.2063549122300425776059097879i","5.32584353379194056809453845361e-6 - 6.95111113444883921786424510423e-6i"
"-5.4483772659951291019715290872 - 13.793936075323513039315501289i","-78.5857542118237488526884177252 - 94.089105592775043563768373888i"
"-29.9177587052688528681652742452 + 9.7965431769204718943118395649i","5.15096562543783528147023384679e13 - 7.18118018140228911333143675042e13i"
"14.3997293931383661988565534607 + 5.1186038389706573990928499188i","0.0000293379061986099657531034853975 - 0.0000127638260171270430572473497431i"
"23.4951191182093564511149388929 + 18.1927971077318783071369797609i","-5.85722772285993941336847586845e-8 + 2.5799026536246938375982189585e-9i"
"-22.9187289285562199159058788555 - 25.8892917398304025361767966673i","-6.41413545583327415059405910893e15 - 6.2905060626206131916556675046e14i"
"21.9935110508785566377580134241 - 3.3492659560459457733897590489i","1.1327474226445324765067770657e-7 - 1.21361703926586410652607078937e-7i"
"23.3460254498657628658232484397 - 27.7997120682618616934769659802i","-5.93708472466134165727421536003e-8 - 2.64862004794078052899295988093e-8i"
"1.0475439825554482284079713519 + 27.2084655069678845020452858614i","-0.880699255548979395280082940493 - 0.565662570593893357270813939241i"
"-14.6663431571735475405722645265 + 2.0662828247295452600091565526i","-1.43476588700241229420250558417 + 6.0415039464513529790673653099i"
"-0.8439975544683111726265115885 - 16.8711212050182204788138968231i","-1.837783859978418855728664753 + 3.58640648472041901455629137938i"
"6.6720130926501191704897676801 - 21.4637642402686372587855202635i","0.00461243504527345225932443694957 - 0.00417087381837484281293514359225i"
"-21.4047031271176588301059905031 - 13.3413953788692304044068900571i","-9.92641970125250109220998249134e9 - 4.6187816604383990448515933135e9i"
"-12.2815570192570036424148573577 - 12.8114892344467803061505994321i","18281.6905919675408773814147613 - 60919.5685330152197748338047805i"
"1.9061866508897346220648370568 + 19.2559699105217804337923309802i","-0.077199773448842845086698435002 + 0.300640843121308207106705407333i"
"8.16319255448594302052499418109 - 0.41333698054893084662407616727i","-0.00246275731448707237785839824119 - 0.00075666491705952653628411239229i"
"-19.7609890850822328786473695891 + 4.3568090142005833054961828403i","33827.3774154514182083393829244 + 1778.2839889860120991859325367i"
"3.0627333598375616734570003156 + 17.3059893789131583934628300629i","-0.1091851669429274089807170575119 - 0.0531937761687928913512582396873i"
"-22.718995944617216025018767413 + 14.5225805106391481782183616834i","-1.68292956020840030613936299485e11 + 1.82368965320954444737884232247e11i"
"23.9234491019451356171568910531 + 25.0364048101489877975868478547i","-3.268038814865148837155475402e-9 - 4.34402832421613275187854260382e-8i"
"26.4797518540593660076336720275 - 17.9410592857940365584710369193i","-7.3438326866656088010999680669e-9 + 9.6420001758192242914433612912e-10i"
"25.0910606196795095088265584962 + 8.5866209733199145518490178203i","-1.83374391895511440299918892953e-8 - 6.310001515120640123556256517e-9i"
"-5.930943421826666704169705348 - 21.7428316820835256751267201465i","4150.90440008144486161789646178 + 686.71574514172353161282210038i"
"25.5916215878132803585541185051 - 13.0947373625493639899254395386i","1.288570529210935837107922782292e-8 - 4.67794351080335885877736858079e-9i"
"23.6797030432064208333924702038 - 13.1302560390895593382678325311i","4.89096261936557041567544892105e-8 - 1.64073541340950615998733207911e-8i"
"-8.16767821418194750918787021184 + 7.64504839938639528355761204437i","-20.2789988459303397250350060591 + 11.0781758248116863654450191191i"
"15.7471776157530987333716434612 - 29.6841454997776409381275617235i","1.93526779875971590109192156841e-6 - 0.00001248224438154822667881775920763i"
"-13.198224271358133606744395312 + 15.925627583907457588769550565i","-201116.15296540735597661161227 - 1.93921292556478311692508482011e6i"
"17.4032927696645215717164641322 + 15.7675051835864647342157944537i","2.6501156979536720332659332392e-7 - 3.99528626069705015656750013817e-6i"
"-8.17526843012612906223388619058 - 1.95909810419073305260862578974i","0.0550696889365244097177896412311 + 0.0397482409896206900491047237311i"
"5.98114171610960150909858132075 - 6.46768555969936609176490585348i","0.00177717423742616976713895141339 + 0.00951427577485924296255225248172i"
"-29.1224233302223978286446614767 + 10.2101999606286113860388520582i","-3.48799811691471106936381985709e13 - 2.03814278035112704299827956213e13i"
"1.44395462490912896902067975537 + 9.43837254843778598510640328358i","-0.178756889335205259646055648222 - 0.034501064736482838835266387539i"
"7.48092017170537827440134293789 - 11.96926180748873633210693151109i","0.00143521408421392250612333053453 - 0.00364031646395597057843692145775i"
"-4.7566533778693194058847079355 + 19.5080723123530528479544303461i","-313.46331289636810701006940032 + 379.918865731679688882053047265i"
"28.9356962338031480897742068839 + 7.109370026039572897776473341i","-2.88600486454940198024513488508e-10 - 1.318707777064981428921114599516e-9i"
"22.9265632916391761603961663281 + 14.52575230738583519395965328i","6.95571604512377083047416903459e-8 - 5.21840941199377506609538311326e-8i"
"-26.153567618643460486114133299 + 8.1549739006972382727181100814i","-2.96898034042417369704494082456e10 - 1.0593300456235021185777081719e9i"
"21.6440615870036549820537827812 - 20.9758790627780915738612293412i","8.2817557911147688036751204587e-8 - 1.94578776969836810339669244388e-7i"
"-2.14661333256530854394722545095 - 7.80289699310825391764780217455i","0.343518114961457786736421640626 + 0.792309506970488451879564381785i"
"18.2268340572297107644590113048 + 9.2752840506868839270466890475i","-2.23384172830174775068635937646e-6 + 3.2707370762906315042901184219e-7i"
"-29.5475149915317923828182504795 + 15.1524552715793529933236803735i","-1.66312045162421754195191776111e16 + 2.00415562337775362439678409693e16i"
"23.8134430854238814137282778652 + 26.0893307183863163604497480801i","-3.38872030810115886279601570863e-8 - 3.25910234880623758554365949678e-8i"
"-19.0537173342147642529344632538 + 1.8296286370456238083925880639i","-198.834626387880724256548855501 + 376.539111521039141293286663801i"
"-3.75280224858227455720614833529 + 4.94505267477551601357671466949i","0.319076758133354701002078560601 + 0.225168510607974327614557655613i"
"-16.9629844822452947258595486887 + 0.6359462032755602936806941735i","6.97966720444828161038274498962 + 0.95217300977727439452328860806i"
"9.56211269901329326058643312287 - 0.86636341872318735400644640436i","-0.00077491510064428419389739475509 - 0.00054533012163302835404894263842i"
"24.4449587284783546449939600252 + 1.9902898810958737328273402575i","-5.7672286216728232885310987267e-9 + 2.97987548155484203506306254044e-8i"
"13.6013803678083010127614939037 + 20.5621365805408705500562496714i","6.7254873398995869328353445228e-6 + 0.0000551969499580024778860555506387i"
"-0.6315553609218948383344418366 - 26.2163969861476363393084739767i","3.79369143115363893003000637355 + 7.13130323785344237678423991809i"
"17.1644801344662309667550287286 - 18.4898487103297569471644786972i","-4.5728241545628676020691489518e-6 - 1.17361806548409201098435438278e-6i"
"22.4137752348495336616457885284 - 2.4106367996888591615927871077i","1.24202554976450735328113399585e-8 - 1.234420212346023628998517969916e-7i"
"6.72585857582155679471385617322 - 11.88423609756572382955810389869i","0.00191779761720672993768488377336 - 0.00631815237774845347130181187508i"
"-14.732581871107782280907648379 + 24.953923473666309461745598286i","3.56723898084671964681871863599e9 - 3.64858311898478095910415314989e9i"
"27.357049578733596444868389322 - 2.5577415135021312720539587472i","8.0942681865050429518161648322e-10 - 3.95008625439221680570297734034e-9i"
"29.5171654671698209712372903068 + 15.4976861489122591506566035147i","2.26162784968205694974100067166e-10 - 8.73338893076722094248747307599e-10i"
"16.2968698601463543694831372504 - 19.1073054786116345279301752984i","-6.69648916746403023261807280531e-6 - 5.41459239003624738275805231472e-6i"
"-14.3897916019535008005447159263 - 28.2048425966789329791797854064i","1.63866199183551393421432085484e10 - 1.9268826181552628578090553999e9i"
"25.7201450652847833037175942792 - 8.8697745999402002531927050139i","-1.242492534057563959818969722449e-8 + 1.68948547930417655170280987736e-9i"
"-20.521517902410160328085307452 + 2.7276206817259050085405359538i","-9004.8961527191004106168436018 + 377.51493958055234796604179817i"
"14.3360959975547840133654371117 + 18.4525530445324474811810577139i","-0.0000327036313920848290648088138187 + 7.6017279752281604129898295117e-6i"
